Last Name,Prefix,First Name,Age,Age Group ,,,class,embarked,country,ticketno,fare,sibsp,parch,survived,
Abbing, Mr, Anthony,42,,,,3rd,S,United States,5547,7.11,0,0,no,
Abbott, Mr, Eugene Joseph,13,,,,3rd,S,United States,2673,20.05,0,2,no,
Abbott, Mr, Rossmore Edward,16,,,,3rd,S,United States,2673,20.05,1,1,no,
Abbott, Mrs, Rhoda Mary 'Rosa',39,,,,3rd,S,England,2673,20.05,1,1,yes,
Abelseth, Miss, Karen Marie,16,,,,3rd,S,Norway,348125,7.13,0,0,yes,
Abelseth, Mr, Olaus Jørgensen,25,,,,3rd,S,United States,348122,7.13,0,0,yes,
Abelson, Mr, Samuel,30,,,,2nd,C,France,3381,24.00,1,0,no,
Abelson, Mrs, Hannah,28,,,,2nd,C,France,3381,24.00,1,0,yes,
Abī-Al-Munà, Mr, Nāsīf Qāsim,27,,,,3rd,C,Lebanon,2699,18.15,0,0,yes,
Abrahamsson, Mr, Abraham August Johannes,20,,,,3rd,S,Finland,3101284,7.18,0,0,yes,
Ådahl, Mr, Mauritz,30,,,,3rd,S,Sweden,7076,7.05,0,0,no,
Adams, Mr, John,27,,,,3rd,S,England,341826,8.01,0,0,no,
Ahlin, Mrs, Johanna Persdotter,40,,,,3rd,S,Sweden,7546,9.09,1,0,no,
Aks, Master, Frank Philip,1,,,,3rd,S,England,392091,9.07,0,1,yes,
Aks, Mrs, Leah,18,,,,3rd,S,England,392091,9.07,0,1,yes,
Aldworth, Mr, Augustus Henry,35,,,,2nd,S,England,248744,13.00,0,0,no,
Alexander, Mr, William Albert,25,,,,3rd,S,England,3474,7.17,0,0,no,
Alhomäki, Mr, Ilmari Rudolf,19,,,,3rd,S,Finland,3101287,7.18,0,0,no,
Ali, Mr, Ahmed,24,,,,3rd,S,Argentina,3101311,7.01,0,0,no,
Ali, Mr, William,25,,,,3rd,S,Argentina,3101312,7.01,0,0,no,
Allen, Miss, Elisabeth Walton,29,,,,1st,S,United States,24160,211.60,0,0,yes,
Allen, Mr, William Henry,39,,,,3rd,S,England,373450,8.01,0,0,no,
Allison, Master, Hudson Trevor,1,,,,1st,S,Canada,113781,151.16,1,2,yes,
Allison, Miss, Helen Loraine,2,,,,1st,S,Canada,113781,151.16,1,2,no,
Allison, Mr, Hudson Joshua Creighton,30,,,,1st,S,Canada,113781,151.16,1,2,no,
Allison, Mrs, Bessie Waldo,25,,,,1st,S,United States,113781,151.16,1,2,no,
Allum, Mr, Owen George,18,,,,3rd,S,England,2223,8.06,0,0,no,
Al-Munà, Mr, Farīd Husayn Qāsim,19,,,,3rd,C,Lebanon,2700,7.04,0,0,no,
Andersen-Jensen, Miss, Carla Christine Nielsine,19,,,,3rd,S,Denmark,350046,7.17,1,0,yes,
Andersen, Mr, Albert Karvin,33,,,,3rd,S,Norway,4001,22.10,0,0,no,
Anderson, Mr, Harry,47,,,,1st,S,United States,19952,26.11,0,0,yes,
